日付 (YYYYMMDD),題（タイトル）,カテゴリー,説明 ※3行以内,,,,,,,
20250505,開運 No.3,イラスト,眠れる運を呼び覚ます願いをイメージしました。,,,,,,,
20250506,チ動説,イラスト,地動説にオロチをのせて描きました。,,,,,,,
20250507,もやい結び,イラスト,結んでつながる、ほどけないご縁をイメージて描きました。,,,,,,,
20250509,ホールイン味噌汁,AI,投げるのはやめようという警鐘の一枚。,,,,,,,
20250510,トレジャーハントとオロチ,イラスト,トレジャーハントに実はオロチも遊びに来てました。,,,,,,,
20250511,開運サンバイザー,イラスト,紫外線が強い季節を彷彿させる一枚。,,,,,,,
20250512,動いた開運,動画,動かす練習、動いた喜びを報告しました。,,,,,,,
20250513,オロチVSサメ,動画,カオスなバトルができました。,,,,,,,
20250514,ノークレジット,AI,動画生成AIのクレジットがなくなった悲しみを表現しました。,,,,,,,
20250515,CNP3周年記念,イラスト,３周年お祭りミントの広告。,,,,,,,
20250516,超特急オロチ,イラスト,これからのCNPとオロチの躍進を願って作りました。,,,,,,,
20250517,超特急オロチ,動画,これからのCNPとオロチの躍進を願って作りました。,,,,,,,
20250518,開運推しポスター,イラスト,手のひらには常に開運オロチがある思いを表現しました。,,,,,,,
20250520,ジャイアント馬オロチ,イラスト,でっかく挑めば、運も味方するという思いを表現しました。,,,,,,,
20250521,ときすでにヤムチャ,イラスト,なにごともしゃしゃり出すぎると開運を逃すという警鐘。,,,,,,,
20250522,新茶の日,イラスト,新茶を飲んで緑と安らぎを頂く一枚。,,,,,,,
20250523,酔っても家に帰ろう,AI,酔い潰れた布団を間違ってしまった一枚。,,,,,,,
20250524,スメハラ注意,AI,臭いは公害になるという注意喚起。,,,,,,,
20250525,おろき将軍,AI,天下の大将軍をイメージして作った一枚。,,,,,,,
20250526,いろんな電車,イラスト,一台、開運なヤツ混ぜてつくってみました。,,,,,,,
20250527,スメハラ注意2,AI,臭いは公害になるという注意喚起。,,,,,,,
20250528,ミステイク,AI,本当に予定すっぽかした反省の一枚。,,,,,,,
20250529,オロチとミタマ,イラスト,オロチとミタマ、迷いながらも進む浮遊旅路の自分と照らし合わせました。,,,,,,,
20250530,オロ谷選手,AI,人気がでると偽物もでるということを表現しました。,,,,,,,
20250531,チャット・オロチーノ3,イラスト,相変わらず詐欺が多いので注意喚起しました。,,,,,,,
20250601,オロチ夢の国へ,AI,来てはいけないところに来てしまった。。,,,,,,,
20250602,上空に警戒せよ,AI,ナルカミアタックで弁当持ってかれてしまった。。,,,,,,,
20250603,トキすでにオロチ,イラスト,"トキは時でもあの時のトキでした。
トキという有名キャラクターからの逆転の発想。",,,,,,,
20250604,開運お守り,イラスト,"よく頼りにしている神社のお守りを
そのままオロチで表現しました。",,,,,,,
20250605,トキすでにブングル,動画,"テレビが壊れるのどの”悔しいです""の主張",,,,,,,
20250606,トキすでに高須,AI,金持ちがドバイでヘリ飛ばして、美容整形しまくって、豪遊。。,,,,,,,
20250607,胸毛の日,イラスト,6/7に作りました。6/7(胸毛)でしたのでそのままを表現しました。,,,,,,,
20250608,グラデーションオロチ,イラスト,グラデーション＆ブレンドされた開運なオロチを表現しました。,,,,,,,
20250609,紫陽花オロチ,イラスト,ジメジメな天気でも開運オロチが味方していると言うことを表現しました。,,,,,,,
20250610,手を結べば、運も結ばれる,イラスト,ロゴを作りたくて、”手を結ぶ＝運も結ばれる”開運ロゴを表現しました。,,,,,,,
20250611,メンタル豆腐に負けない,イラスト,気持ちが弱ってたのでイラストで自分を高めるため作成しました。,,,,,,,
20250612,開運USB,イラスト,USBがいつも上下逆でささらなくてイライラする気持ちを表現しました。,,,,,,,
20250613,たくさんこなせない人,イラスト,あれもこれも一気にたくさんできません””を表現しました。,,,,,,,
20250614,開運の風,イラスト,開運な風がみな様にも吹いて欲しいという気持ちを表現しました。,,,,,,,
20250615,上昇したい,イラスト,今は飛べなくても、コツコツ頑張って高みに行きたい！と言う気持ちを表現しました。,,,,,,,……
20250616,オロチの開運ハンドタオル,イラスト,これから暑くなるのでハンカチタオルっと思ったので作成しました。,,,,,,,
20250617,オロチクリーム,イラスト,ジリジリをソフトクリームで回避したいっという気持ち表現しました。,,,,,,,
20250618,おにぎりの日,イラスト,おにぎりの日だったのでおにぎりとオロチをあわせて握ってみました。,,,,,,,
20250619,開運オロチャーズ,イラスト,オロ谷さんもびっくり！KUオロチャーズ結成です。,,,,,,,
20250620,秒でできたロゴ”カイソン”,イラスト,バイブコーディングはじめてからよく見るこれはほぼほぼオロチでした。,,,,,,,
20250621,見逃し配信,AI,朝活ラジオまさかのステルス配信。気づけませんでした。,,,,,,,
20250622,開運席,イラスト,ゆくゆくはオロチトークの保有者の特典となるだろうを表現しました。,,,,,,,
20250623,開運パワーの破壊力,動画,「100人乗っても大丈夫」って聞いてたのに。。,,,,,,,
20250624,シンプル＆スッキリな開運,イラスト,シンプルのまつりたくなるオロチを表現しました。,,,,,,,
20250625,開運無理ボウリング場,イラスト,オロチピン ＝ 開運オロチは倒れない,,,,,,,
20250626,露天風呂の日,イラスト,6/26(露天風呂)でくつろぐオロチ表現しました。,,,,,,,
20250627,夏を背に梅雨を送る,イラスト,梅雨明け間近を表現しました。,,,,,,,
20250628,トランスフォーム,動画,赤い彗星もビビるやつを表現しました。,,,,,,,
20250629,MSオロチ,AI,赤い彗星もビビるやつを表現しました。,,,,,,,
20250630,ハーフタイム,イラスト,今年半分終了をオロチの砂時計で表現しました。,,,,,,,
20250701,刻まれし開運,イラスト,オロチ好きのDIYを表現しました。,,,,,,,
20250702,蛇ノ目とオロチ,イラスト,クリップスタジオの練習で描きました。,,,,,,,
20250703,オロチ専用スリーブ,イラスト,オロチ使いさんの為のCNPトレカのスリーブをイメージしました。,,,,,,,
20250704,開運冷麺,イラスト,冷やしオロチ、はじめました,,,,,,,
20250705,旅先開運散財録,AI,「せっかくだし…」が口ぐせに。買いすぎました。。,,,,,,,
20250706,運も、涼しく保存中,イラスト,暑くてしかたなかったので、オロチ凍らせました。,,,,,,,
20250707,願い結ぶ・七夕,イラスト,短冊に込めた願い、きっとオロチが叶えてくれる。,,,,,,,
20250708,貴族の装備,AI,日傘が貴族のやつだった。。,,,,,,,
20250709,かたちの中,イラスト,言葉を超えて伝わる“開運”の意志を表現してみました。,,,,,,,
20250710,HEY!JO!KYO!,イラスト,7.10（ナント）立派な巨大オロチ合成しました。,,,,,,,
20250711,圧倒的存在感,AI,パビリオン大部分を占拠してしまう。。,,,,,,,
20250712,海運オロチ,イラスト,オロチのコンテナが街をはったらいいのにっという妄想を合成しました。,,,,,,,
20250713,覚醒ノ刻,イラスト,中２病炸裂作品。闇を超えし者よ…その血に宿るは、運命。,,,,,,,
20250714,ひまわりの日,イラスト,実は「ひまわり1号」という気象衛星の記念日だった。,,,,,,,
20250715,祝福の飽和,動画,制御不能の開運パワーを表現しました。,,,,,,,
20250716,開運招きオロチ,イラスト,トークンを呼び寄せる招き猫…ならぬ招きオロチを表現しました。,,,,,,,
20250717,祝・開運オロチトークン 半年,イラスト,運用開始から6ヶ月を迎えた喜びを描きました。,,,,,,,
20250718,Aniちゃんは僕の天使,AI,Aniちゃんを探しにアキバへいく。。,,,,,,,
20250719,たのしく、クールに、セクシーに,イラスト,進次郎オロチ炸裂。,,,,,,,
20250720,友だちと海へ,イラスト,オロチくんとミタマちゃんの仲良しな一日を描いてみました。,,,,,,,
20250721,キンチョーの夏,イラスト,夏といえばこの香り。開運の香りをイメージして作りました。,,,,,,,
20250722,大暑の日,イラスト,海軍大将ではなく、大暑の日です。暑いの始まりを描きました。,,,,,,,
20250723,サンライズオロチ,イラスト,シンプルだけど、開運上昇を表現しました。,,,,,,,
20250724,京都祇園祭,イラスト,山鉾オロチをイメージした作品。,,,,,,,
20250725,かき氷の日,イラスト,暑い日にぴったりなオロチと氷をあわせた作品。,,,,,,,
20250726,避暑地,AI,一番ナイスな避暑地を見つけたオロチを表現しました。,,,,,,,
20250727,スイカの日,イラスト,スイカの日だったのでスイカを題材に描いてみました。,,,,,,,
20250728,温暖化の末路,AI,温暖化と時すでにオロチに置き換えた一枚。,,,,,,,
20250729,開運栓,イラスト,開運オロチの限定ポイントが付与されたので作りました。,,,,,,,
20250730,お掃除ロボ,動画,お掃除ロボにされたオロチを表現しました。,,,,,,,
20250731,サウナの後は,イラスト,サウナの後の定番らしいです。開運になれそうな1杯を作りました。,,,,,,,
20250801,オロ神,イラスト,天候の神、風神雷神を、オロ神様に置き換えて作りました。,,,,,,,
20250802,送風,イラスト,少しでも涼しくなれるようなオロチを表現してみました。,,,,,,,
20250803,日傘を忘れずに,動画,燃えるような暑さが続くので、注意喚起を込めて作りました。,,,,,,,
20250804,マカミの応援,イラスト,ゆるナビで１位になってほしいマカミに開運パワー注入しました。,,,,,,,
20250805,オロコーラ,イラスト,オロコーラーで暑気払いしたい気持ちを表現しました。,,,,,,,
20250806,冷凍室の罠,AI,暑すぎで冷凍室に入ったものの、出られなくなった模様。,,,,,,,
20250807,柑橘オロチ,イラスト,パステルなパターンでオロチを表現しました。,,,,,,,
20250808,開運棒,イラスト,暑い中、少しでもご利益あることを願って作った1枚,,,,,,,
20250809,ラムネなオロチ,イラスト,暑さを吹き飛ばしたい思いをラムネに込めました。,,,,,,,
20250810,オロチのポテンシャル,イラスト,まだ見えてない開運ご利益があるということを表現しました。,,,,,,,
20250811,山の日,イラスト,涼しい山頂イメージして描きました。,,,,,,,
20250812,避暑地を探して,AI,避暑地を求めて、夢の国でスプラッシュしてしまう一枚。,,,,,,,
20250813,OROCHI CLI,イラスト,AI信じすぎてPC動かなくなった悲しい気持ちを作品にしました。,,,,,,,
20250814,オロサーファー,動画,簡単に波に乗る強気なオロチを表現しました。,,,,,,,
20250815,キグナスオロチ,イラスト,冷えた何かを描きたいという想いがキグナスになりました。,,,,,,,
20250816,あついのもうむり,イラスト,暑すぎてもう無理という気持ちを表現しました。,,,,,,,
20250817,,,,,,,,,,
